Page,Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/catalog/5F3EEF4C-D1EA-4AC8-A2C5-774D21E78D46,Wisconsin Historic Aerial Imagery Finder (Aerial Photos 1937-41) - Big Ten Academic Alliance Geoportal,355,209,00:01:42,200,29.50%,41.13%,$0.00
/catalog/999-0011,"Digital Sanborn Maps (Black & White): All States, 1867-1970 - Big Ten Academic Alliance Geoportal",196,135,00:00:28,7,28.57%,10.20%,$0.00
/catalog/999-0011-michigan,"Digital Sanborn Maps (Black & White): Michigan, 1867-1970 - Big Ten Academic Alliance Geoportal",101,59,00:01:20,57,31.58%,36.63%,$0.00
/catalog/cfa4442cb1b94ac7a67e5eb8c8634141_65,Big Game Check Stations: Nebraska - Big Ten Academic Alliance Geoportal,99,87,00:02:08,87,83.91%,84.85%,$0.00
/catalog/8888-001,Research Guide to Restricted or Licensed Data - Big Ten Academic Alliance Geoportal,72,65,00:01:14,0,0.00%,30.56%,$0.00
/catalog/VAC3073-M-00654,Warrick and Spencer counties soil map - Big Ten Academic Alliance Geoportal,67,5,00:01:46,2,0.00%,4.48%,$0.00
/catalog/999-0011-california,"Digital Sanborn Maps (Black & White): California, 1867-1970 - Big Ten Academic Alliance Geoportal",64,27,00:01:08,27,22.22%,29.69%,$0.00
/catalog/999-0011-new-jersey,"Digital Sanborn Maps (Black & White): New Jersey, 1867-1970 - Big Ten Academic Alliance Geoportal",61,31,00:00:49,31,32.26%,42.62%,$0.00
/catalog/999-0011-texas,"Digital Sanborn Maps (Black & White): Texas, 1867-1970 - Big Ten Academic Alliance Geoportal",61,23,00:00:19,21,19.05%,24.59%,$0.00
/catalog/999-0010,Fire Insurance Maps Online (FIMo): All States - Big Ten Academic Alliance Geoportal,60,36,00:00:50,0,0.00%,11.67%,$0.00
/catalog/27fec672702f4bd581a526c7ec183dab_3,Remonumented Section Corners: Michigan - Big Ten Academic Alliance Geoportal,56,28,00:02:20,27,55.56%,44.64%,$0.00
/catalog/999-0011-virginia,"Digital Sanborn Maps (Black & White): Virginia, 1867-1970 - Big Ten Academic Alliance Geoportal",55,30,00:00:27,30,40.00%,43.64%,$0.00
/catalog/999-0011-massachusetts,"Digital Sanborn Maps (Black & White): Massachusetts, 1867-1970 - Big Ten Academic Alliance Geoportal",51,23,00:00:18,23,30.43%,39.22%,$0.00
/catalog/999-0011-illinois,"Digital Sanborn Maps (Black & White): Illinois, 1867-1970 - Big Ten Academic Alliance Geoportal",49,28,00:00:40,27,44.44%,44.90%,$0.00
/catalog/5ddadf472d32447d99a49d3d5a5aa2d5_0,"Current Tax Sale List: City of Baltimore, Maryland - Big Ten Academic Alliance Geoportal",44,33,00:01:46,32,52.94%,65.91%,$0.00
/catalog/4595f026-f248-4ba8-9cb7-88177d700125,PennPilot (Historical Aerial Photo Library): Pennsylvania - Big Ten Academic Alliance Geoportal,43,31,00:01:17,31,45.16%,55.81%,$0.00
/catalog/999-0011-georgia,"Digital Sanborn Maps (Black & White): Georgia, 1867-1970 - Big Ten Academic Alliance Geoportal",43,12,00:00:21,12,8.33%,20.93%,$0.00
/catalog/999-0011-ohio,"Digital Sanborn Maps (Black & White): Ohio, 1867-1970 - Big Ten Academic Alliance Geoportal",43,24,00:00:32,24,25.00%,37.21%,$0.00
/catalog/045ea858-52c4-43f2-a7b1-8c3c8da9dd79,"Property Parcels: Prince George's County, Maryland - Big Ten Academic Alliance Geoportal",41,34,00:01:55,34,70.59%,80.49%,$0.00
/catalog/06a-03,General Land Office Township Plats: Michigan - Big Ten Academic Alliance Geoportal,38,22,00:00:52,2,50.00%,23.68%,$0.00
/catalog/999-0011-louisiana,"Digital Sanborn Maps (Black & White): Louisiana, 1867-1970 - Big Ten Academic Alliance Geoportal",37,15,00:00:27,13,30.77%,32.43%,$0.00
/catalog/01d-03,Russian Military Topographic Map Collection - Big Ten Academic Alliance Geoportal,34,24,00:00:15,12,41.67%,29.41%,$0.00
/catalog/999-0011-maine,"Digital Sanborn Maps (Black & White): Maine, 1867-1970 - Big Ten Academic Alliance Geoportal",34,11,00:00:32,10,20.00%,23.53%,$0.00
/catalog/03a,State of Iowa Open Data Collection - Big Ten Academic Alliance Geoportal,33,4,00:00:35,1,0.00%,0.00%,$0.00
/catalog/4f281be9-8d74-4926-a1e6-9bef350a2214,"Aerial Photography: Dodge County, Wisconsin, 1940 - Big Ten Academic Alliance Geoportal",33,9,00:04:53,0,0.00%,6.06%,$0.00
/catalog/999-0011-west-virginia,"Digital Sanborn Maps (Black & White): West Virginia, 1867-1970 - Big Ten Academic Alliance Geoportal",32,15,00:00:29,14,28.57%,40.62%,$0.00
/catalog/999-0011-iowa,"Digital Sanborn Maps (Black & White): Iowa, 1867-1970 - Big Ten Academic Alliance Geoportal",29,17,00:00:29,16,25.00%,31.03%,$0.00
