Page,Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/catalog/5F3EEF4C-D1EA-4AC8-A2C5-774D21E78D46,Wisconsin Historic Aerial Imagery Finder (Aerial Photos 1937-41) - Big Ten Academic Alliance Geoportal,227,168,00:05:33,166,53.61%,67.40%,$0.00
/catalog/999-0011,"Digital Sanborn Maps (Black & White): All States, 1867-1970 - Big Ten Academic Alliance Geoportal",193,135,00:00:39,7,14.29%,6.22%,$0.00
/catalog/999-0011-california,"Digital Sanborn Maps (Black & White): California, 1867-1970 - Big Ten Academic Alliance Geoportal",84,35,00:00:34,34,26.47%,35.71%,$0.00
/catalog/8888-001,Research Guide to Restricted or Licensed Data - Big Ten Academic Alliance Geoportal,73,57,00:00:45,1,0.00%,28.77%,$0.00
/catalog/999-0011-texas,"Digital Sanborn Maps (Black & White): Texas, 1867-1970 - Big Ten Academic Alliance Geoportal",70,33,00:00:40,33,42.42%,37.14%,$0.00
/catalog/999-0011-massachusetts,"Digital Sanborn Maps (Black & White): Massachusetts, 1867-1970 - Big Ten Academic Alliance Geoportal",65,28,00:00:23,28,46.43%,35.38%,$0.00
/catalog/999-0011-new-jersey,"Digital Sanborn Maps (Black & White): New Jersey, 1867-1970 - Big Ten Academic Alliance Geoportal",64,30,00:01:39,30,40.00%,40.62%,$0.00
/catalog/999-0011-michigan,"Digital Sanborn Maps (Black & White): Michigan, 1867-1970 - Big Ten Academic Alliance Geoportal",63,41,00:01:33,40,37.50%,42.86%,$0.00
/catalog/999-0011-ohio,"Digital Sanborn Maps (Black & White): Ohio, 1867-1970 - Big Ten Academic Alliance Geoportal",60,36,00:00:57,36,36.11%,38.33%,$0.00
/catalog/5ddadf472d32447d99a49d3d5a5aa2d5_0,"Current Tax Sale List: City of Baltimore, Maryland - Big Ten Academic Alliance Geoportal",59,48,00:01:25,48,70.83%,76.27%,$0.00
/catalog/999-0011-west-virginia,"Digital Sanborn Maps (Black & White): West Virginia, 1867-1970 - Big Ten Academic Alliance Geoportal",49,18,00:01:21,18,27.78%,28.57%,$0.00
/catalog/999-0011-iowa,"Digital Sanborn Maps (Black & White): Iowa, 1867-1970 - Big Ten Academic Alliance Geoportal",47,28,00:00:34,25,40.00%,42.55%,$0.00
/catalog/999-0011-virginia,"Digital Sanborn Maps (Black & White): Virginia, 1867-1970 - Big Ten Academic Alliance Geoportal",47,20,00:00:15,20,40.00%,34.04%,$0.00
/catalog/999-0011-illinois,"Digital Sanborn Maps (Black & White): Illinois, 1867-1970 - Big Ten Academic Alliance Geoportal",46,20,00:00:18,17,29.41%,30.43%,$0.00
/catalog/999-0011-missouri,"Digital Sanborn Maps (Black & White): Missouri, 1867-1970 - Big Ten Academic Alliance Geoportal",45,15,00:00:29,15,20.00%,20.00%,$0.00
/catalog/999-0011-geo,"Georeferenced Sanborn Maps: Selected Cities & States, 1867-1970 - Big Ten Academic Alliance Geoportal",39,27,00:01:27,23,60.87%,48.72%,$0.00
/catalog/06a-03,General Land Office Township Plats: Michigan - Big Ten Academic Alliance Geoportal,37,22,00:01:16,5,0.00%,21.62%,$0.00
/catalog/27fec672702f4bd581a526c7ec183dab_3,Remonumented Section Corners: Michigan - Big Ten Academic Alliance Geoportal,34,21,00:07:23,20,45.00%,52.94%,$0.00
/catalog/harvard-nhgis-pop1940,"Historic County Boundaries and Total Population: United States, 1940 - Big Ten Academic Alliance Geoportal",34,18,00:01:32,18,44.44%,47.06%,$0.00
/catalog/08c8b2294f0843a49f5be9540fcab268_0,"Vending Prohibited Streets: Philadelphia, Pennsylvania, United States - Big Ten Academic Alliance Geoportal",30,24,00:03:52,23,65.22%,76.67%,$0.00
/catalog/045ea858-52c4-43f2-a7b1-8c3c8da9dd79,"Property Parcels: Prince George's County, Maryland - Big Ten Academic Alliance Geoportal",28,20,00:00:56,20,55.00%,67.86%,$0.00
/catalog/999-0010,Fire Insurance Maps Online (FIMo): All States - Big Ten Academic Alliance Geoportal,27,23,00:00:11,0,0.00%,14.81%,$0.00
/catalog/999-0011-alabama,"Digital Sanborn Maps (Black & White): Alabama, 1867-1970 - Big Ten Academic Alliance Geoportal",27,15,00:00:23,12,33.33%,37.04%,$0.00
/catalog/39a51eef0c0f4248884802948478411f_0,"Flood Hazard Areas: Stark County, Ohio - Big Ten Academic Alliance Geoportal",26,23,00:03:50,23,21.74%,84.62%,$0.00
/catalog/the-related-record,The Related Record - Big Ten Academic Alliance Geoportal,26,6,00:04:59,5,20.00%,7.69%,$0.00
/catalog/999-0011-indiana,"Digital Sanborn Maps (Black & White): Indiana, 1867-1970 - Big Ten Academic Alliance Geoportal",25,11,00:01:51,11,18.18%,32.00%,$0.00
/catalog/999-0011-tennessee,"Digital Sanborn Maps (Black & White): Tennessee, 1867-1970 - Big Ten Academic Alliance Geoportal",25,14,00:00:23,14,35.71%,40.00%,$0.00
/catalog/999-0011-wisconsin,"Digital Sanborn Maps (Black & White): Wisconsin, 1867-1970 - Big Ten Academic Alliance Geoportal",25,14,00:01:33,13,38.46%,36.00%,$0.00
/catalog/08d-02,"Sanborn Maps: Pennsylvania, 1884-1938 - Big Ten Academic Alliance Geoportal",24,17,00:00:29,11,18.18%,37.50%,$0.00
/catalog/4595f026-f248-4ba8-9cb7-88177d700125,PennPilot (Historical Aerial Photo Library): Pennsylvania - Big Ten Academic Alliance Geoportal,23,18,00:00:26,17,58.82%,65.22%,$0.00
/catalog/999-0011-colorado,"Digital Sanborn Maps (Black & White): Colorado, 1867-1970 - Big Ten Academic Alliance Geoportal",23,13,00:00:42,13,46.15%,34.78%,$0.00
/catalog/05d-10,National Historical GIS - Big Ten Academic Alliance Geoportal,22,12,00:00:21,0,0.00%,13.64%,$0.00
/catalog/999-0010-missouri,Fire Insurance Maps Online (FIMo): Missouri - Big Ten Academic Alliance Geoportal,22,8,00:00:26,2,100.00%,9.09%,$0.00
/catalog/999-0011-north-carolina,"Digital Sanborn Maps (Black & White): North Carolina, 1867-1970 - Big Ten Academic Alliance Geoportal",22,10,00:00:20,10,20.00%,31.82%,$0.00
/catalog/45026acc949e41e5ae2130e7218be6fb_2,Trout and Salmon Inland Stream Regulation Types (Layer 4 of 4) - BTRA Lines: Michigan - Big Ten Academic Alliance Geoportal,21,19,00:01:35,18,88.89%,85.71%,$0.00
/catalog/999-0010-illinois,Fire Insurance Maps Online (FIMo): Illinois - Big Ten Academic Alliance Geoportal,21,8,00:00:48,0,0.00%,9.52%,$0.00
/catalog/f88b67ddbee74ca198392bd76771a71e_1,"Urban Rural Demarcation Line: Baltimore County, Maryland - Big Ten Academic Alliance Geoportal",21,17,00:01:35,17,82.35%,80.95%,$0.00
/catalog/e8612a5bdcbb46db8421d389adc41369_0,"Building Footprints: Cuyahoga County, Ohio, 2016 - Big Ten Academic Alliance Geoportal",20,8,00:00:43,7,14.29%,35.00%,$0.00
